  48 | 06/04/2026 | 21:37:47 | Memory #0x51 | Presence Detected | Asserted
  49 | 06/04/2026 | 21:37:47 | Memory #0x53 | Presence Detected | Asserted
  4a | 06/04/2026 | 21:37:47 | Memory #0x55 | Presence Detected | Asserted
  4b | 06/04/2026 | 21:37:47 | Memory #0x57 | Presence Detected | Asserted
  4c | 06/04/2026 | 21:37:47 | Memory #0x59 | Presence Detected | Asserted
  4d | 06/04/2026 | 21:37:47 | Memory #0x5b | Presence Detected | Asserted
  4e | 06/04/2026 | 21:37:48 | Memory #0x5d | Presence Detected | Asserted
  4f | 06/04/2026 | 21:37:48 | Memory #0x5f | Presence Detected | Asserted
  50 | 06/04/2026 | 21:37:48 | Memory #0x61 | Presence Detected | Asserted
  51 | 06/04/2026 | 21:38:34 | Battery #0x84 | Presence Detected | Asserted
  52 | 06/04/2026 | 21:48:20 | System ACPI Power State #0x64 | S4/S5: soft-off | Asserted
  53 | 06/04/2026 | 21:48:22 | Memory #0x43 | Presence Detected | Deasserted
  54 | 06/04/2026 | 21:48:22 | Memory #0x45 | Presence Detected | Deasserted
  55 | 06/04/2026 | 21:48:22 | Memory #0x47 | Presence Detected | Deasserted
  56 | 06/04/2026 | 21:48:22 | Memory #0x49 | Presence Detected | Deasserted
  57 | 06/04/2026 | 21:48:22 | Memory #0x4b | Presence Detected | Deasserted
  58 | 06/04/2026 | 21:48:22 | Memory #0x4d | Presence Detected | Deasserted
  59 | 06/04/2026 | 21:48:22 | Memory #0x4f | Presence Detected | Deasserted
  5a | 06/04/2026 | 21:48:22 | Memory #0x51 | Presence Detected | Deasserted
  5b | 06/04/2026 | 21:48:22 | Memory #0x53 | Presence Detected | Deasserted
  5c | 06/04/2026 | 21:48:22 | Memory #0x55 | Presence Detected | Deasserted
  5d | 06/04/2026 | 21:48:22 | Memory #0x57 | Presence Detected | Deasserted
  5e | 06/04/2026 | 21:48:23 | Memory #0x59 | Presence Detected | Deasserted
  5f | 06/04/2026 | 21:48:23 | Memory #0x5b | Presence Detected | Deasserted
  60 | 06/04/2026 | 21:48:23 | Memory #0x5d | Presence Detected | Deasserted
  61 | 06/04/2026 | 21:48:23 | Memory #0x5f | Presence Detected | Deasserted
  62 | 06/04/2026 | 21:48:23 | Memory #0x61 | Presence Detected | Deasserted
  63 | 06/04/2026 | 21:48:23 | Battery #0x84 | Presence Detected | Deasserted
  64 | 06/04/2026 | 21:48:39 | Power Supply #0x99 | Power Supply AC lost | Deasserted
  65 | 06/04/2026 | 21:49:20 | Button #0x66 | Power Button pressed | Asserted
  66 | 06/04/2026 | 21:49:22 | System ACPI Power State #0x64 | S0/G0: working | Asserted
  67 | 06/04/2026 | 21:49:23 | Memory #0x49 | Presence Detected | Asserted
  68 | 06/04/2026 | 21:49:23 | Memory #0x4b | Presence Detected | Asserted
  69 | 06/04/2026 | 21:49:23 | Memory #0x4d | Presence Detected | Asserted
  6a | 06/04/2026 | 21:49:23 | Memory #0x4f | Presence Detected | Asserted
  6b | 06/04/2026 | 21:49:23 | Memory #0x51 | Presence Detected | Asserted
  6c | 06/04/2026 | 21:49:23 | Memory #0x53 | Presence Detected | Asserted
  6d | 06/04/2026 | 21:49:23 | Memory #0x55 | Presence Detected | Asserted
  6e | 06/04/2026 | 21:49:23 | Memory #0x57 | Presence Detected | Asserted
  6f | 06/04/2026 | 21:49:23 | Memory #0x59 | Presence Detected | Asserted
  70 | 06/04/2026 | 21:49:23 | Memory #0x5b | Presence Detected | Asserted
  71 | 06/04/2026 | 21:49:23 | Memory #0x5d | Presence Detected | Asserted
  72 | 06/04/2026 | 21:49:23 | Memory #0x5f | Presence Detected | Asserted
  73 | 06/04/2026 | 21:49:23 | Memory #0x61 | Presence Detected | Asserted
  74 | 06/04/2026 | 21:49:24 | Battery #0x84 | Presence Detected | Asserted
  75 | 06/04/2026 | 21:49:26 | Memory #0x43 | Presence Detected | Asserted
  76 | 06/04/2026 | 21:49:27 | Memory #0x45 | Presence Detected | Asserted
  77 | 06/04/2026 | 21:49:27 | Memory #0x47 | Presence Detected | Asserted
  78 | 06/04/2026 | 21:49:27 | System Boot Initiated #0x60 | System Restart | Asserted
  79 | 06/11/2026 | 11:57:32 | Slot / Connector #0x7f | Identify Status | Asserted
  7a | 06/11/2026 | 17:38:36 | Memory #0x43 | Presence Detected | Deasserted
  7b | 06/11/2026 | 17:38:36 | Memory #0x45 | Presence Detected | Deasserted
  7c | 06/11/2026 | 17:38:36 | Memory #0x47 | Presence Detected | Deasserted
  7d | 06/11/2026 | 17:38:36 | Memory #0x49 | Presence Detected | Deasserted
  7e | 06/11/2026 | 17:38:36 | System ACPI Power State #0x64 | S4/S5: soft-off | Asserted
  7f | 06/11/2026 | 17:38:36 | Memory #0x4b | Presence Detected | Deasserted
  80 | 06/11/2026 | 17:38:36 | Memory #0x4d | Presence Detected | Deasserted
  81 | 06/11/2026 | 17:38:36 | Memory #0x4f | Presence Detected | Deasserted
  82 | 06/11/2026 | 17:38:37 | Memory #0x51 | Presence Detected | Deasserted
  83 | 06/11/2026 | 17:38:37 | Memory #0x53 | Presence Detected | Deasserted
  84 | 06/11/2026 | 17:38:37 | Memory #0x55 | Presence Detected | Deasserted
  85 | 06/11/2026 | 17:38:37 | Memory #0x57 | Presence Detected | Deasserted
  86 | 06/11/2026 | 17:38:37 | Memory #0x59 | Presence Detected | Deasserted
  87 | 06/11/2026 | 17:38:37 | Memory #0x5b | Presence Detected | Deasserted
  88 | 06/11/2026 | 17:38:37 | Memory #0x5d | Presence Detected | Deasserted
  89 | 06/11/2026 | 17:38:37 | Memory #0x5f | Presence Detected | Deasserted
  8a | 06/11/2026 | 17:38:37 | Memory #0x61 | Presence Detected | Deasserted
  8b | 06/11/2026 | 17:38:38 | Battery #0x84 | Presence Detected | Deasserted
  8c | 06/11/2026 | 17:42:18 | Power Supply #0x99 | Power Supply AC lost | Asserted
  8d | 07/14/2026 | 19:24:44 | System Boot Initiated #0x60 | System Restart | Asserted
  8e | 07/14/2026 | 19:24:44 | System ACPI Power State #0x5b | S0/G0: working | Asserted
  8f | 07/14/2026 | 19:24:47 | Processor #0x36 | Presence detected | Asserted
  90 | 07/14/2026 | 19:24:47 | Processor #0x37 | Presence detected | Asserted
  91 | 07/14/2026 | 19:24:47 | Microcontroller #0x70 | Device Enabled | Asserted
  92 | 07/14/2026 | 19:24:47 | Power Supply #0x79 | Presence detected | Asserted
  93 | 07/14/2026 | 19:24:47 | Cooling Device #0x81 | Device Absent | Asserted
  94 | 07/14/2026 | 19:24:47 | Cooling Device #0x82 | Device Absent | Asserted
  95 | 07/14/2026 | 19:24:47 | Cooling Device #0x83 | Device Absent | Asserted
  96 | 07/14/2026 | 19:24:47 | Cooling Device #0x84 | Device Absent | Asserted
  97 | 07/14/2026 | 19:25:05 | Cable / Interconnect #0x66 | Config Error | Asserted
  98 | 07/14/2026 | 19:25:50 | Memory #0x3a | Presence Detected | Asserted
  99 | 07/14/2026 | 19:26:58 | Management Subsys Health #0x61 | Sensor access degraded or unavailable | Asserted
  9a | 07/14/2026 | 19:32:54 | Memory #0x3a | Presence Detected | Deasserted
  9b | 07/14/2026 | 19:32:54 | System ACPI Power State #0x5b | S4/S5: soft-off | Asserted
  9c | 07/14/2026 | 19:33:19 | Power Supply #0x79 | Power Supply AC lost | Asserted
  9d | 07/14/2026 | 21:04:42 | System Boot Initiated #0x60 | System Restart | Asserted
  9e | 07/14/2026 | 21:04:42 | System ACPI Power State #0x5b | S0/G0: working | Asserted
  9f | 07/14/2026 | 21:04:44 | Processor #0x36 | Presence detected | Asserted
  a0 | 07/14/2026 | 21:04:44 | Processor #0x37 | Presence detected | Asserted
  a1 | 07/14/2026 | 21:04:45 | Microcontroller #0x70 | Device Enabled | Asserted
  a2 | 07/14/2026 | 21:04:45 | Power Supply #0x79 | Presence detected | Asserted
  a3 | 07/14/2026 | 21:04:45 | Cooling Device #0x81 | Device Absent | Asserted
  a4 | 07/14/2026 | 21:04:45 | Cooling Device #0x82 | Device Absent | Asserted
  a5 | 07/14/2026 | 21:04:45 | Cooling Device #0x83 | Device Absent | Asserted
  a6 | 07/14/2026 | 21:04:45 | Cooling Device #0x84 | Device Absent | Asserted
  a7 | 07/14/2026 | 21:05:03 | Cable / Interconnect #0x66 | Config Error | Asserted
  a8 | 07/14/2026 | 21:05:21 | Memory #0x3a | Presence Detected | Asserted
  a9 | 07/14/2026 | 21:06:59 | Management Subsys Health #0x61 | Sensor access degraded or unavailable | Asserted
  aa | 07/14/2026 | 21:11:56 | Temperature #0x04 | Upper Non-critical going high | Asserted
  ab | 07/14/2026 | 21:11:59 | Processor #0x32 | State Asserted | Asserted
  ac | 07/16/2026 | 01:48:17 | Processor #0x32 | State Asserted | Deasserted
  ad | 07/16/2026 | 01:48:19 | Processor #0x32 | State Asserted | Asserted
  ae | 07/16/2026 | 21:02:42 | Processor #0x32 | State Asserted | Deasserted
